id,object,group,description,variable_type,custom_type,address,offsets,bit_start,bit_length,string_length,unicode,path,dropdown
24211,Club,Finances,Player Wages,Custom,United Kingdom Pound,ptrClub,cluo.Celm+0x10 -> cluo.Cfin,,,,,Club > > Finances > > Expenditure > > Last Month > > Player Wages,
24212,Club,Finances,Scouting Costs,Custom,United Kingdom Pound,ptrClub,cluo.Celm+0x88 -> cluo.Cfin,,,,,Club > > Finances > > Expenditure > > Last Month > > Scouting Costs,
24213,Club,Finances,Staff Wages,Custom,United Kingdom Pound,ptrClub,cluo.Celm+0x14 -> cluo.Cfin,,,,,Club > > Finances > > Expenditure > > Last Month > > Staff Wages,
24214,Club,Finances,Tax - Income Tax,Custom,United Kingdom Pound,ptrClub,cluo.Celm+0x2C -> cluo.Cfin,,,,,Club > > Finances > > Expenditure > > Last Month > > Tax - Income Tax,
24215,Club,Finances,Tax - Employer Tax,Custom,United Kingdom Pound,ptrClub,cluo.Celm+0x30 -> cluo.Cfin,,,,,Club > > Finances > > Expenditure > > Last Month > > Tax - Employer Tax,
24216,Club,Finances,Tax - Corporation Tax,Custom,United Kingdom Pound,ptrClub,cluo.Celm+0x34 -> cluo.Cfin,,,,,Club > > Finances > > Expenditure > > Last Month > > Tax - Corporation Tax,
24217,Club,Finances,Tax - VAT,Custom,United Kingdom Pound,ptrClub,cluo.Celm+0x38 -> cluo.Cfin,,,,,Club > > Finances > > Expenditure > > Last Month > > Tax - VAT,
24218,Club,Finances,Tax - Nl Employee,Custom,United Kingdom Pound,ptrClub,cluo.Celm+0x3C -> cluo.Cfin,,,,,Club > > Finances > > Expenditure > > Last Month > > Tax - Nl Employee,
24219,Club,Finances,Tax - Nl Employer,Custom,United Kingdom Pound,ptrClub,cluo.Celm+0x40 -> cluo.Cfin,,,,,Club > > Finances > > Expenditure > > Last Month > > Tax - Nl Employer,
24220,Club,Finances,Tax - Pension Employee,Custom,United Kingdom Pound,ptrClub,cluo.Celm+0x44 -> cluo.Cfin,,,,,Club > > Finances > > Expenditure > > Last Month > > Tax - Pension Employee,
24221,Club,Finances,Tax - Pension Employer,Custom,United Kingdom Pound,ptrClub,cluo.Celm+0x48 -> cluo.Cfin,,,,,Club > > Finances > > Expenditure > > Last Month > > Tax - Pension Employer,
24222,Club,Finances,Tax - Transfer Tax,Custom,United Kingdom Pound,ptrClub,cluo.Celm+0x4C -> cluo.Cfin,,,,,Club > > Finances > > Expenditure > > Last Month > > Tax - Transfer Tax,
24223,Club,Finances,Tax - Internal Transfer Tax,Custom,United Kingdom Pound,ptrClub,cluo.Celm+0x50 -> cluo.Cfin,,,,,Club > > Finances > > Expenditure > > Last Month > > Tax - Internal Transfer Tax,
24224,Club,Finances,Tax - External Transfer Tax,Custom,United Kingdom Pound,ptrClub,cluo.Celm+0x54 -> cluo.Cfin,,,,,Club > > Finances > > Expenditure > > Last Month > > Tax - External Transfer Tax,
24225,Club,Finances,Tax - Ticket Entertainment Tax,Custom,United Kingdom Pound,ptrClub,cluo.Celm+0x60 -> cluo.Cfin,,,,,Club > > Finances > > Expenditure > > Last Month > > Tax - Ticket Entertainment Tax,
24226,Club,Finances,Tax - Other,Custom,United Kingdom Pound,ptrClub,cluo.Celm+0x64 -> cluo.Cfin,,,,,Club > > Finances > > Expenditure > > Last Month > > Tax - Other,
24227,Club,Finances,Tax - Brazilian Ticket Tax,Custom,United Kingdom Pound,ptrClub,cluo.Celm+0x68 -> cluo.Cfin,,,,,Club > > Finances > > Expenditure > > Last Month > > Tax - Brazilian Ticket Tax,
24228,Club,Finances,Tax - Foreign Player Transfer Tax,Custom,United Kingdom Pound,ptrClub,cluo.Celm+0x6C -> cluo.Cfin,,,,,Club > > Finances > > Expenditure > > Last Month > > Tax - Foreign Player Transfer Tax,
24229,Club,Finances,Tax - Domestic Player Transfer Tax,Custom,United Kingdom Pound,ptrClub,cluo.Celm+0x70 -> cluo.Cfin,,,,,Club > > Finances > > Expenditure > > Last Month > > Tax - Domestic Player Transfer Tax,
24230,Club,Finances,Transfer Expenditure,Custom,United Kingdom Pound,ptrClub,cluo.Celm+0x24 -> cluo.Cfin,,,,,Club > > Finances > > Expenditure > > Last Month > > Transfer Expenditure,
24231,Club,Finances,Travel Costs,Custom,United Kingdom Pound,ptrClub,cluo.Celm+0x8C -> cluo.Cfin,,,,,Club > > Finances > > Expenditure > > Last Month > > Travel Costs,
24232,Club,Finances,Youth Setup,Custom,United Kingdom Pound,ptrClub,cluo.Celm+0x84 -> cluo.Cfin,,,,,Club > > Finances > > Expenditure > > Last Month > > Youth Setup,
11608,Club,Finances,Agent Fees,Custom,United Kingdom Pound,ptrClub,cluo.Cets+0x80 -> cluo.Cfin,,,,,Club > > Finances > > Expenditure > > This Season > > Agent Fees,
11610,Club,Finances,Bonuses,Custom,United Kingdom Pound,ptrClub,cluo.Cets+0x1C -> cluo.Cfin,,,,,Club > > Finances > > Expenditure > > This Season > > Bonuses,
12602,Club,Finances,Director Emoluments,Custom,United Kingdom Pound,ptrClub,cluo.Cets+0x78 -> cluo.Cfin,,,,,Club > > Finances > > Expenditure > > This Season > > Director Emoluments,
12861,Club,Finances,Dividends,Custom,United Kingdom Pound,ptrClub,cluo.Cets+0x18 -> cluo.Cfin,,,,,Club > > Finances > > Expenditure > > This Season > > Dividends,
11621,Club,Finances,Ground Maintenance,Custom,United Kingdom Pound,ptrClub,cluo.Cets+0xC -> cluo.Cfin,,,,,Club > > Finances > > Expenditure > > This Season > > Ground Maintenance,
24088,Club,Finances,Insurance,Custom,United Kingdom Pound,ptrClub,cluo.Cets+0x94 -> cluo.Cfin,,,,,Club > > Finances > > Expenditure > > This Season > > Insurance,
24146,Club,Finances,League Fines,Custom,United Kingdom Pound,ptrClub,cluo.Cets+0x8 -> cluo.Cfin,,,,,Club > > Finances > > Expenditure > > This Season > > League Fines,
24089,Club,Finances,Loan Fees,Custom,United Kingdom Pound,ptrClub,cluo.Cets+0x98 -> cluo.Cfin,,,,,Club > > Finances > > Expenditure > > This Season > > Loan Fees,
24147,Club,Finances,Loan Repayments and Interest,Custom,United Kingdom Pound,ptrClub,cluo.Cets+0x4 -> cluo.Cfin,,,,,Club > > Finances > > Expenditure > > This Season > > Loan Repayments and Interest,
11618,Club,Finances,Loyalty Bonuses,Custom,United Kingdom Pound,ptrClub,cluo.Cets+0x20 -> cluo.Cfin,,,,,Club > > Finances > > Expenditure > > This Season > > Loyalty Bonuses,
11620,Club,Finances,Match Day Expenses,Custom,United Kingdom Pound,ptrClub,cluo.Cets+0x74 -> cluo.Cfin,,,,,Club > > Finances > > Expenditure > > This Season > > Match Day Expenses,
11606,Club,Finances,Non-Football Costs,Custom,United Kingdom Pound,ptrClub,cluo.Cets+0x7C -> cluo.Cfin,,,,,Club > > Finances > > Expenditure > > This Season > > Non-Football Costs,
11604,Club,Finances,Other,Custom,United Kingdom Pound,ptrClub,cluo.Cets -> cluo.Cfin,,,,,Club > > Finances > > Expenditure > > This Season > > Other,
11614,Club,Finances,Player Wages,Custom,United Kingdom Pound,ptrClub,cluo.Cets+0x10 -> cluo.Cfin,,,,,Club > > Finances > > Expenditure > > This Season > > Player Wages,
12604,Club,Finances,Scouting Costs,Custom,United Kingdom Pound,ptrClub,cluo.Cets+0x88 -> cluo.Cfin,,,,,Club > > Finances > > Expenditure > > This Season > > Scouting Costs,
11599,Club,Finances,Staff Wages,Custom,United Kingdom Pound,ptrClub,cluo.Cets+0x14 -> cluo.Cfin,,,,,Club > > Finances > > Expenditure > > This Season > > Staff Wages,
24144,Club,Finances,Tax - Income Tax,Custom,United Kingdom Pound,ptrClub,cluo.Cets+0x2C -> cluo.Cfin,,,,,Club > > Finances > > Expenditure > > This Season > > Tax - Income Tax,
24145,Club,Finances,Tax - Employer Tax,Custom,United Kingdom Pound,ptrClub,cluo.Cets+0x30 -> cluo.Cfin,,,,,Club > > Finances > > Expenditure > > This Season > > Tax - Employer Tax,
12435,Club,Finances,Tax - Corporation Tax,Custom,United Kingdom Pound,ptrClub,cluo.Cets+0x34 -> cluo.Cfin,,,,,Club > > Finances > > Expenditure > > This Season > > Tax - Corporation Tax,
12596,Club,Finances,Tax - VAT,Custom,United Kingdom Pound,ptrClub,cluo.Cets+0x38 -> cluo.Cfin,,,,,Club > > Finances > > Expenditure > > This Season > > Tax - VAT,
